Date,prediction,actual,FE
2018-07-10,21.881534576416016,21.49799919128418,-0.01784051537630212
2018-07-11,21.611852645874023,21.263999938964844,-0.016358761658560914
2018-07-12,21.460002899169922,21.11400032043457,-0.016387353106198595
2018-07-13,21.473445892333984,21.257999420166016,-0.010134842320279178
2018-07-16,21.05838966369629,20.67333221435547,-0.018625804749242997
2018-07-17,21.662647247314453,21.512666702270508,-0.006971731915881723
2018-07-18,21.836593627929688,21.59000015258789,-0.011421652320472027
2018-07-19,21.66417694091797,21.34866714477539,-0.01477889902929102
2018-07-20,21.331485748291016,20.905332565307617,-0.020384903308861935
2018-07-23,20.38555335998535,20.21333312988281,-0.008520130202966733
2018-07-24,20.191211700439453,19.82866668701172,-0.01828388258022465
2018-07-25,20.716693878173828,20.582666397094727,-0.006511667560137871
2018-07-26,20.85321807861328,20.44333267211914,-0.020049833022242367
2018-07-27,20.236238479614258,19.812000274658203,-0.021413193977122214
2018-07-30,19.672637939453125,19.344667434692383,-0.01695405236962439
2018-07-31,20.08004379272461,19.875999450683597,-0.010265865751671389
2018-08-01,20.286422729492188,20.05599975585937,-0.011488979678786536
2018-08-02,23.030258178710938,23.30266761779785,0.01169005384082534
2018-08-03,23.496877670288086,23.211332321166992,-0.012301980134966136
2018-08-06,23.27217674255371,22.79933357238769,-0.020739341729649512
2018-08-07,24.42009162902832,25.30466651916504,0.03495698666752896
2018-08-08,24.900413513183594,24.689332962036133,-0.008549463506042534
2018-08-09,23.75502586364746,23.49666786193848,-0.01099551660801602
2018-08-10,23.83496856689453,23.69933319091797,-0.005723172668357628
2018-08-13,23.937976837158203,23.76066780090332,-0.007462291789969892
2018-08-14,23.57379913330078,23.176000595092773,-0.01716424439047679
2018-08-15,22.84061622619629,22.57933235168457,-0.01157181578454534
2018-08-16,22.784000396728516,22.36333274841309,-0.018810597375978177
2018-08-17,20.778518676757812,20.36666679382324,-0.020221859919634932
2018-08-20,20.52031898498535,20.562667846679688,0.0020595022985392497
2018-08-21,21.646854400634766,21.459999084472656,-0.008707144647424902
2018-08-22,21.72260284423828,21.44266700744629,-0.0130550848313216
2018-08-23,21.793745040893555,21.34000015258789,-0.021262646910086298
2018-08-24,21.8809757232666,21.521333694458008,-0.016710954530722497
2018-08-27,21.48645782470703,21.284666061401367,-0.009480616831081175
2018-08-28,21.228952407836914,20.790666580200195,-0.021080893483911494
2018-08-29,20.78369903564453,20.333999633789062,-0.022115639321061167
2018-08-30,20.517887115478516,20.209999084472656,-0.01523444062114826
2018-08-31,20.493511199951172,20.11066627502441,-0.019036909055679542
